,Royementen_Act,Royementen_Pred,Royementen_%,NewBusiness_Act,NewBusiness_Pred,NewBusiness_%,Prolongaties_Act,Prolongaties_Pred,Prolongaties_%,Netto_Act,Netto_Pred,Netto_%
2024-01,1953,1998,2.3,2788,2640,5.3,13351,13484,1.0,835,642,23.1
2024-02,1774,1810,2.0,2695,2404,10.8,9947,9702,2.5,921,594,35.5
2024-03,1807,1883,4.2,2948,2717,7.8,11151,10577,5.1,1141,834,26.9
2024-04,1874,1757,6.2,2165,2407,11.2,10185,9962,2.2,291,650,123.4
2024-05,1774,1747,1.5,2265,2395,5.7,10237,10107,1.3,491,648,32.0
2024-06,1772,1740,1.8,2376,2532,6.6,10959,10559,3.6,604,792,31.1
2024-07,1755,1809,3.1,2301,2455,6.7,10985,10945,0.4,546,646,18.3
2024-08,1714,1713,0.1,2216,2234,0.8,9893,9595,3.0,502,521,3.8
2024-09,1613,1727,7.1,2128,2366,11.2,10277,10054,2.2,515,639,24.1
2024-10,2798,1837,34.3,3825,2467,35.5,11685,10937,6.4,1027,630,38.7
2024-11,2227,1836,17.6,2589,2629,1.5,11959,11043,7.7,362,793,119.1
2024-12,2137,1844,13.7,2529,2470,2.3,10940,10157,7.2,392,626,59.7
