"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071120 Tweedehands auto's";"2003 oktober";"  123.16";"    -1.1"
"071120 Tweedehands auto's";"2003 november";"  122.92";"    -1.2"
"071120 Tweedehands auto's";"2003 december";"  122.63";"    -1.4"
"071120 Tweedehands auto's";"2004 januari";"  122.19";"    -1.4"
"071120 Tweedehands auto's";"2004 februari";"  122.76";"    -1.3"
"071120 Tweedehands auto's";"2004 maart";"  122.20";"    -1.3"
"071120 Tweedehands auto's";"2004 april";"  122.15";"    -1.8"
"071120 Tweedehands auto's";"2004 mei";"  122.15";"    -1.9"
"071120 Tweedehands auto's";"2004 juni";"  122.20";"    -1.6"
"071120 Tweedehands auto's";"2004 juli";"  122.40";"    -1.4"
"071120 Tweedehands auto's";"2004 augustus";"  121.80";"    -1.5"
"071120 Tweedehands auto's";"2004 september";"  121.64";"    -1.4"
"071120 Tweedehands auto's";"2004 oktober";"  121.53";"    -1.3"
"071120 Tweedehands auto's";"2004 november";"  121.39";"    -1.2"
"071120 Tweedehands auto's";"2004 december";"  120.80";"    -1.5"
"071120 Tweedehands auto's";"2005 januari";"  120.38";"    -1.5"
"071120 Tweedehands auto's";"2005 februari";"  121.28";"    -1.2"
"071120 Tweedehands auto's";"2005 maart";"  120.62";"    -1.3"
"071120 Tweedehands auto's";"2005 april";"  120.91";"    -1.0"
"071120 Tweedehands auto's";"2005 mei";"  120.77";"    -1.1"
"071120 Tweedehands auto's";"2005 juni";"  120.44";"    -1.4"
"071120 Tweedehands auto's";"2005 juli";"  120.53";"    -1.5"
"071120 Tweedehands auto's";"2005 augustus";"  120.67";"    -0.9"
"071120 Tweedehands auto's";"2005 september";"  120.54";"    -0.9"
"071120 Tweedehands auto's";"2005 oktober";"  120.83";"    -0.6"
"071120 Tweedehands auto's";"2005 november";"  120.95";"    -0.4"
"071120 Tweedehands auto's";"2005 december";"  120.37";"    -0.4"
"071120 Tweedehands auto's";"2006 januari";"  119.37";"    -0.8"
"071120 Tweedehands auto's";"2006 februari";"  120.67";"    -0.5"
"071120 Tweedehands auto's";"2006 maart";"  120.56";"     0.0"
"071120 Tweedehands auto's";"2006 april";"  120.41";"    -0.4"
"071120 Tweedehands auto's";"2006 mei";"  120.72";"     0.0"
"071120 Tweedehands auto's";"2006 juni";"  120.33";"    -0.1"
"071120 Tweedehands auto's";"2006 juli";"  120.96";"     0.4"
"071120 Tweedehands auto's";"2006 augustus";"  121.11";"     0.4"
"071120 Tweedehands auto's";"2006 september";"  120.73";"     0.2"
"071120 Tweedehands auto's";"2006 oktober";"  120.52";"    -0.3"
"071120 Tweedehands auto's";"2006 november";"  120.58";"    -0.3"
"071120 Tweedehands auto's";"2006 december";"  120.29";"    -0.1"
"071120 Tweedehands auto's";"2007 januari";"  119.50";"     0.1"
"071120 Tweedehands auto's";"2007 februari";"  120.09";"    -0.5"
"071120 Tweedehands auto's";"2007 maart";"  120.05";"    -0.4"
"071120 Tweedehands auto's";"2007 april";"  120.01";"    -0.3"
"071120 Tweedehands auto's";"2007 mei";"  119.96";"    -0.6"
"071120 Tweedehands auto's";"2007 juni";"  120.34";"     0.0"
"071120 Tweedehands auto's";"2007 juli";"  120.06";"    -0.7"
"071120 Tweedehands auto's";"2007 augustus";"  119.82";"    -1.1"
"071120 Tweedehands auto's";"2007 september";"  119.34";"    -1.2"
"071120 Tweedehands auto's";"2007 oktober";"  118.87";"    -1.4"
"071120 Tweedehands auto's";"2007 november";"  118.65";"    -1.6"
"071120 Tweedehands auto's";"2007 december";"  117.70";"    -2.2"
"071120 Tweedehands auto's";"2008 januari";"  116.28";"    -2.7"
"071120 Tweedehands auto's";"2008 februari";"  116.67";"    -2.8"
"071120 Tweedehands auto's";"2008 maart";"  116.04";"    -3.3"
"071120 Tweedehands auto's";"2008 april";"  115.36";"    -3.9"
"071120 Tweedehands auto's";"2008 mei";"  115.56";"    -3.7"
"071120 Tweedehands auto's";"2008 juni";"  115.43";"    -4.1"
"071120 Tweedehands auto's";"2008 juli";"  114.29";"    -4.8"
"071120 Tweedehands auto's";"2008 augustus";"  113.34";"    -5.4"
"071120 Tweedehands auto's";"2008 september";"  112.62";"    -5.6"
"071120 Tweedehands auto's";"2008 oktober";"  111.80";"    -5.9"
"071120 Tweedehands auto's";"2008 november";"  110.68";"    -6.7"
"071120 Tweedehands auto's";"2008 december";"  108.94";"    -7.4"
"071120 Tweedehands auto's";"2009 januari";"  106.38";"    -8.5"
"071120 Tweedehands auto's";"2009 februari";"  107.17";"    -8.1"
"071120 Tweedehands auto's";"2009 maart";"  105.66";"    -8.9"
"071120 Tweedehands auto's";"2009 april";"  105.01";"    -9.0"
"071120 Tweedehands auto's";"2009 mei";"  104.60";"    -9.5"
"071120 Tweedehands auto's";"2009 juni";"  104.43";"    -9.5"
"071120 Tweedehands auto's";"2009 juli";"  104.75";"    -8.3"
"071120 Tweedehands auto's";"2009 augustus";"  104.91";"    -7.4"
"071120 Tweedehands auto's";"2009 september";"  104.93";"    -6.8"
"071120 Tweedehands auto's";"2009 oktober";"  105.48";"    -5.7"
"071120 Tweedehands auto's";"2009 november";"  104.84";"    -5.3"
"071120 Tweedehands auto's";"2009 december";"  104.35";"    -4.2"
"071120 Tweedehands auto's";"2010 januari";"  103.48";"    -2.7"
"071120 Tweedehands auto's";"2010 februari";"  103.25";"    -3.7"
"071120 Tweedehands auto's";"2010 maart";"  102.80";"    -2.7"
"071120 Tweedehands auto's";"2010 april";"  102.71";"    -2.2"
"071120 Tweedehands auto's";"2010 mei";"  102.74";"    -1.8"
"071120 Tweedehands auto's";"2010 juni";"  103.29";"    -1.1"
"071120 Tweedehands auto's";"2010 juli";"  103.05";"    -1.6"
"071120 Tweedehands auto's";"2010 augustus";"  103.32";"    -1.5"
"071120 Tweedehands auto's";"2010 september";"  102.86";"    -2.0"
"071120 Tweedehands auto's";"2010 oktober";"  102.82";"    -2.5"
"071120 Tweedehands auto's";"2010 november";"  103.22";"    -1.5"
"071120 Tweedehands auto's";"2010 december";"  102.83";"    -1.5"
"071120 Tweedehands auto's";"2011 januari";"  101.51";"    -1.9"
"071120 Tweedehands auto's";"2011 februari";"  102.56";"    -0.7"
"071120 Tweedehands auto's";"2011 maart";"  102.59";"    -0.2"
"071120 Tweedehands auto's";"2011 april";"  102.75";"     0.0"
"071120 Tweedehands auto's";"2011 mei";"  102.99";"     0.2"
"071120 Tweedehands auto's";"2011 juni";"  102.68";"    -0.6"
"071120 Tweedehands auto's";"2011 juli";"  102.47";"    -0.6"
"071120 Tweedehands auto's";"2011 augustus";"  102.45";"    -0.8"
"071120 Tweedehands auto's";"2011 september";"  102.59";"    -0.3"
"071120 Tweedehands auto's";"2011 oktober";"  101.69";"    -1.1"
"071120 Tweedehands auto's";"2011 november";"  100.24";"    -2.9"
"071120 Tweedehands auto's";"2011 december";"   99.25";"    -3.5"
"071120 Tweedehands auto's";"2012 januari";"   99.10";"    -2.4"
"071120 Tweedehands auto's";"2012 februari";"   98.27";"    -4.2"
"071120 Tweedehands auto's";"2012 maart";"   97.92";"    -4.6"
"071120 Tweedehands auto's";"2012 april";"   97.95";"    -4.7"
"071120 Tweedehands auto's";"2012 mei";"   96.76";"    -6.0"
"071120 Tweedehands auto's";"2012 juni";"   96.56";"    -6.0"
"071120 Tweedehands auto's";"2012 juli";"   96.70";"    -5.6"
"071120 Tweedehands auto's";"2012 augustus";"   95.44";"    -6.8"
