"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072300 Onderhoud en rep. privévoertuigen";"2002 mei";"   68.99";"     7.0"
"072300 Onderhoud en rep. privévoertuigen";"2002 juni";"   69.51";"     7.2"
"072300 Onderhoud en rep. privévoertuigen";"2002 juli";"   69.62";"     6.9"
"072300 Onderhoud en rep. privévoertuigen";"2002 augustus";"   69.85";"     7.3"
"072300 Onderhoud en rep. privévoertuigen";"2002 september";"   69.75";"     6.5"
"072300 Onderhoud en rep. privévoertuigen";"2002 oktober";"   69.58";"     5.8"
"072300 Onderhoud en rep. privévoertuigen";"2002 november";"   69.71";"     5.7"
"072300 Onderhoud en rep. privévoertuigen";"2002 december";"   69.82";"     5.0"
"072300 Onderhoud en rep. privévoertuigen";"2003 januari";"   70.72";"     4.7"
"072300 Onderhoud en rep. privévoertuigen";"2003 februari";"   71.35";"     4.4"
"072300 Onderhoud en rep. privévoertuigen";"2003 maart";"   71.35";"     4.3"
"072300 Onderhoud en rep. privévoertuigen";"2003 april";"   71.52";"     4.1"
"072300 Onderhoud en rep. privévoertuigen";"2003 mei";"   71.68";"     3.9"
"072300 Onderhoud en rep. privévoertuigen";"2003 juni";"   72.02";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2003 juli";"   72.17";"     3.7"
"072300 Onderhoud en rep. privévoertuigen";"2003 augustus";"   72.08";"     3.2"
"072300 Onderhoud en rep. privévoertuigen";"2003 september";"   71.85";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2003 oktober";"   72.09";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2003 november";"   72.08";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"2003 december";"   71.93";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2004 januari";"   73.07";"     3.3"
"072300 Onderhoud en rep. privévoertuigen";"2004 februari";"   73.29";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2004 maart";"   73.88";"     3.5"
"072300 Onderhoud en rep. privévoertuigen";"2004 april";"   74.12";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2004 mei";"   73.73";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2004 juni";"   73.04";"     1.4"
"072300 Onderhoud en rep. privévoertuigen";"2004 juli";"   73.27";"     1.5"
"072300 Onderhoud en rep. privévoertuigen";"2004 augustus";"   73.25";"     1.6"
"072300 Onderhoud en rep. privévoertuigen";"2004 september";"   73.21";"     1.9"
"072300 Onderhoud en rep. privévoertuigen";"2004 oktober";"   73.47";"     1.9"
"072300 Onderhoud en rep. privévoertuigen";"2004 november";"   73.26";"     1.6"
"072300 Onderhoud en rep. privévoertuigen";"2004 december";"   73.51";"     2.2"
"072300 Onderhoud en rep. privévoertuigen";"2005 januari";"   73.92";"     1.2"
"072300 Onderhoud en rep. privévoertuigen";"2005 februari";"   74.19";"     1.2"
"072300 Onderhoud en rep. privévoertuigen";"2005 maart";"   75.25";"     1.9"
"072300 Onderhoud en rep. privévoertuigen";"2005 april";"   75.49";"     1.8"
"072300 Onderhoud en rep. privévoertuigen";"2005 mei";"   75.22";"     2.0"
"072300 Onderhoud en rep. privévoertuigen";"2005 juni";"   75.21";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2005 juli";"   75.31";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2005 augustus";"   75.23";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2005 september";"   75.84";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2005 oktober";"   75.74";"     3.1"
"072300 Onderhoud en rep. privévoertuigen";"2005 november";"   76.00";"     3.7"
"072300 Onderhoud en rep. privévoertuigen";"2005 december";"   75.83";"     3.2"
"072300 Onderhoud en rep. privévoertuigen";"2006 januari";"   76.52";"     3.5"
"072300 Onderhoud en rep. privévoertuigen";"2006 februari";"   76.81";"     3.5"
"072300 Onderhoud en rep. privévoertuigen";"2006 maart";"   76.81";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2006 april";"   76.64";"     1.5"
"072300 Onderhoud en rep. privévoertuigen";"2006 mei";"   76.87";"     2.2"
"072300 Onderhoud en rep. privévoertuigen";"2006 juni";"   77.41";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2006 juli";"   77.05";"     2.3"
"072300 Onderhoud en rep. privévoertuigen";"2006 augustus";"   77.35";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2006 september";"   77.53";"     2.2"
"072300 Onderhoud en rep. privévoertuigen";"2006 oktober";"   77.46";"     2.3"
"072300 Onderhoud en rep. privévoertuigen";"2006 november";"   77.62";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2006 december";"   77.75";"     2.5"
"072300 Onderhoud en rep. privévoertuigen";"2007 januari";"   76.89";"     0.5"
"072300 Onderhoud en rep. privévoertuigen";"2007 februari";"   76.95";"     0.2"
"072300 Onderhoud en rep. privévoertuigen";"2007 maart";"   77.22";"     0.5"
"072300 Onderhoud en rep. privévoertuigen";"2007 april";"   77.66";"     1.3"
"072300 Onderhoud en rep. privévoertuigen";"2007 mei";"   78.00";"     1.5"
"072300 Onderhoud en rep. privévoertuigen";"2007 juni";"   77.95";"     0.7"
"072300 Onderhoud en rep. privévoertuigen";"2007 juli";"   77.92";"     1.1"
"072300 Onderhoud en rep. privévoertuigen";"2007 augustus";"   78.43";"     1.4"
"072300 Onderhoud en rep. privévoertuigen";"2007 september";"   78.58";"     1.4"
"072300 Onderhoud en rep. privévoertuigen";"2007 oktober";"   78.87";"     1.8"
"072300 Onderhoud en rep. privévoertuigen";"2007 november";"   79.12";"     1.9"
"072300 Onderhoud en rep. privévoertuigen";"2007 december";"   79.67";"     2.5"
"072300 Onderhoud en rep. privévoertuigen";"2008 januari";"   80.63";"     4.9"
"072300 Onderhoud en rep. privévoertuigen";"2008 februari";"   80.99";"     5.3"
"072300 Onderhoud en rep. privévoertuigen";"2008 maart";"   81.23";"     5.2"
"072300 Onderhoud en rep. privévoertuigen";"2008 april";"   81.55";"     5.0"
"072300 Onderhoud en rep. privévoertuigen";"2008 mei";"   81.81";"     4.9"
"072300 Onderhoud en rep. privévoertuigen";"2008 juni";"   82.33";"     5.6"
"072300 Onderhoud en rep. privévoertuigen";"2008 juli";"   82.48";"     5.9"
"072300 Onderhoud en rep. privévoertuigen";"2008 augustus";"   82.67";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2008 september";"   83.01";"     5.6"
"072300 Onderhoud en rep. privévoertuigen";"2008 oktober";"   83.57";"     6.0"
"072300 Onderhoud en rep. privévoertuigen";"2008 november";"   83.92";"     6.1"
"072300 Onderhoud en rep. privévoertuigen";"2008 december";"   83.96";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2009 januari";"   84.97";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2009 februari";"   85.47";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2009 maart";"   85.70";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2009 april";"   85.92";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2009 mei";"   86.09";"     5.2"
"072300 Onderhoud en rep. privévoertuigen";"2009 juni";"   86.21";"     4.7"
"072300 Onderhoud en rep. privévoertuigen";"2009 juli";"   86.48";"     4.8"
"072300 Onderhoud en rep. privévoertuigen";"2009 augustus";"   86.81";"     5.0"
"072300 Onderhoud en rep. privévoertuigen";"2009 september";"   86.81";"     4.6"
"072300 Onderhoud en rep. privévoertuigen";"2009 oktober";"   86.80";"     3.9"
"072300 Onderhoud en rep. privévoertuigen";"2009 november";"   86.92";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2009 december";"   87.03";"     3.7"
"072300 Onderhoud en rep. privévoertuigen";"2010 januari";"   87.52";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2010 februari";"   87.59";"     2.5"
"072300 Onderhoud en rep. privévoertuigen";"2010 maart";"   87.98";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2010 april";"   88.03";"     2.5"
"072300 Onderhoud en rep. privévoertuigen";"2010 mei";"   88.01";"     2.2"
"072300 Onderhoud en rep. privévoertuigen";"2010 juni";"   88.05";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2010 juli";"   88.22";"     2.0"
"072300 Onderhoud en rep. privévoertuigen";"2010 augustus";"   88.01";"     1.4"
"072300 Onderhoud en rep. privévoertuigen";"2010 september";"   88.10";"     1.5"
