"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Nieuw verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2018 juni";46746
"Personenauto";"Totaal";"2018 juli";36110
"Personenauto";"Totaal";"2018 augustus";40918
"Personenauto";"Totaal";"2018 september";29301
"Personenauto";"Totaal";"2018 oktober";29763
"Personenauto";"Totaal";"2018 november";34608
"Personenauto";"Totaal";"2018 december";19842
"Personenauto";"Totaal";"2019 januari";47164
"Personenauto";"Totaal";"2019 februari";29780
"Personenauto";"Totaal";"2019 maart";38507
"Personenauto";"Totaal";"2019 april";32701
"Personenauto";"Totaal";"2019 mei";36601
"Personenauto";"Totaal";"2019 juni";41026
"Personenauto";"Totaal";"2019 juli";33540
"Personenauto";"Totaal";"2019 augustus";33724
"Personenauto";"Totaal";"2019 september";37707
"Personenauto";"Totaal";"2019 oktober";33772
"Personenauto";"Totaal";"2019 november";39092
"Personenauto";"Totaal";"2019 december";41604
"Personenauto";"Totaal";"2020 januari";44016
"Personenauto";"Totaal";"2020 februari";29665
"Personenauto";"Totaal";"2020 maart";29372
"Personenauto";"Totaal";"2020 april";15322
"Personenauto";"Totaal";"2020 mei";14842
"Personenauto";"Totaal";"2020 juni";24754
"Personenauto";"Totaal";"2020 juli";34636
"Personenauto";"Totaal";"2020 augustus";26294
"Personenauto";"Totaal";"2020 september";29305
"Personenauto";"Totaal";"2020 oktober";31786
"Personenauto";"Totaal";"2020 november";33149
"Personenauto";"Totaal";"2020 december";42291
"Personenauto";"Totaal";"2021 januari";34929
"Personenauto";"Totaal";"2021 februari";21617
"Personenauto";"Totaal";"2021 maart";24042
"Personenauto";"Totaal";"2021 april";23844
"Personenauto";"Totaal";"2021 mei";25394
"Personenauto";"Totaal";"2021 juni";32938
"Personenauto";"Totaal";"2021 juli";26777
"Personenauto";"Totaal";"2021 augustus";21641
"Personenauto";"Totaal";"2021 september";24607
"Personenauto";"Totaal";"2021 oktober";24081
"Personenauto";"Totaal";"2021 november";27224
"Personenauto";"Totaal";"2021 december";35224
"Personenauto";"Totaal";"2022 januari*";30849
"Personenauto";"Totaal";"2022 februari*";22717
"Personenauto";"Totaal";"2022 maart*";24781
"Personenauto";"Totaal";"2022 april*";21938
"Personenauto";"Totaal";"2022 mei*";23396
"Personenauto";"Totaal";"2022 juni*";30015
"Personenauto";"Totaal";"2022 juli*";21940
"Personenauto";"Totaal";"2022 augustus*";23459
"Personenauto";"Totaal";"2022 september*";25610
"Personenauto";"Totaal";"2022 oktober*";28801
"Personenauto";"Totaal";"2022 november*";27747
"Personenauto";"Totaal";"2022 december*";30817
"Personenauto";"Totaal";"2023 januari*";32666
"Personenauto";"Totaal";"2023 februari*";27929
"Personenauto";"Totaal";"2023 maart*";37309
"Personenauto";"Totaal";"2023 april*";29559
"Personenauto";"Totaal";"2023 mei*";32943
"Personenauto";"Totaal";"2023 juni*";40187
"Personenauto";"Totaal";"2023 juli*";28608
"Personenauto";"Totaal";"2023 augustus*";27722
"Personenauto";"Totaal";"2023 september*";29726
"Personenauto";"Totaal";"2023 oktober*";28321
"Personenauto";"Totaal";"2023 november*";28223
"Personenauto";"Totaal";"2023 december*";26442
"Personenauto";"Totaal";"2024 januari*";34392
"Personenauto";"Totaal";"2024 februari*";30332
"Personenauto";"Totaal";"2024 maart*";36994
"Personenauto";"Totaal";"2024 april*";28295
"Personenauto";"Totaal";"2024 mei*";28138
"Personenauto";"Totaal";"2024 juni*";35161
"Personenauto";"Totaal";"2024 juli*";26589
"Personenauto";"Totaal";"2024 augustus*";27404
"Personenauto";"Totaal";"2024 september*";30849
"Personenauto";"Totaal";"2024 oktober*";32008
"Personenauto";"Totaal";"2024 november*";34469
"Personenauto";"Totaal";"2024 december*";36832
"Personenauto";"Totaal";"2025 januari*";32625
"Personenauto";"Totaal";"2025 februari*";27627
"Personenauto";"Totaal";"2025 maart*";31132
"Personenauto";"Totaal";"2025 april*";26992
"Personenauto";"Totaal";"2025 mei*";29597
"Personenauto";"Totaal";"2025 juni*";34405
"Personenauto";"Totaal";"2025 juli*";28818
"Personenauto";"Totaal";"2025 augustus*";26497
"Personenauto";"Totaal";"2025 september*";32196
"Personenauto";"Totaal";"2025 oktober*";34255
"Personenauto";"Totaal";"2025 november*";35295
"Personenauto";"Totaal";"2025 december*";48585
