"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072200 Brandstoffen en smeermiddelen";"2002 september";"   71.09";"     1.1"
"072200 Brandstoffen en smeermiddelen";"2002 oktober";"   70.23";"     4.8"
"072200 Brandstoffen en smeermiddelen";"2002 november";"   67.61";"     3.8"
"072200 Brandstoffen en smeermiddelen";"2002 december";"   69.18";"     7.4"
"072200 Brandstoffen en smeermiddelen";"2003 januari";"   71.32";"     7.1"
"072200 Brandstoffen en smeermiddelen";"2003 februari";"   73.26";"     9.8"
"072200 Brandstoffen en smeermiddelen";"2003 maart";"   72.80";"     5.8"
"072200 Brandstoffen en smeermiddelen";"2003 april";"   70.20";"    -1.7"
"072200 Brandstoffen en smeermiddelen";"2003 mei";"   68.15";"    -3.3"
"072200 Brandstoffen en smeermiddelen";"2003 juni";"   68.52";"    -0.9"
"072200 Brandstoffen en smeermiddelen";"2003 juli";"   69.65";"     0.3"
"072200 Brandstoffen en smeermiddelen";"2003 augustus";"   70.91";"     1.3"
"072200 Brandstoffen en smeermiddelen";"2003 september";"   69.66";"    -2.0"
"072200 Brandstoffen en smeermiddelen";"2003 oktober";"   69.33";"    -1.3"
"072200 Brandstoffen en smeermiddelen";"2003 november";"   69.26";"     2.4"
"072200 Brandstoffen en smeermiddelen";"2003 december";"   68.64";"    -0.8"
"072200 Brandstoffen en smeermiddelen";"2004 januari";"   71.72";"     0.6"
"072200 Brandstoffen en smeermiddelen";"2004 februari";"   71.83";"    -2.0"
"072200 Brandstoffen en smeermiddelen";"2004 maart";"   73.73";"     1.3"
"072200 Brandstoffen en smeermiddelen";"2004 april";"   74.94";"     6.8"
"072200 Brandstoffen en smeermiddelen";"2004 mei";"   77.85";"    14.2"
"072200 Brandstoffen en smeermiddelen";"2004 juni";"   75.77";"    10.6"
"072200 Brandstoffen en smeermiddelen";"2004 juli";"   77.09";"    10.7"
"072200 Brandstoffen en smeermiddelen";"2004 augustus";"   77.46";"     9.2"
"072200 Brandstoffen en smeermiddelen";"2004 september";"   77.56";"    11.3"
"072200 Brandstoffen en smeermiddelen";"2004 oktober";"   79.62";"    14.8"
"072200 Brandstoffen en smeermiddelen";"2004 november";"   77.01";"    11.2"
"072200 Brandstoffen en smeermiddelen";"2004 december";"   73.75";"     7.4"
"072200 Brandstoffen en smeermiddelen";"2005 januari";"   75.16";"     4.8"
"072200 Brandstoffen en smeermiddelen";"2005 februari";"   77.07";"     7.3"
"072200 Brandstoffen en smeermiddelen";"2005 maart";"   79.01";"     7.2"
"072200 Brandstoffen en smeermiddelen";"2005 april";"   81.36";"     8.6"
"072200 Brandstoffen en smeermiddelen";"2005 mei";"   79.64";"     2.3"
"072200 Brandstoffen en smeermiddelen";"2005 juni";"   82.79";"     9.3"
"072200 Brandstoffen en smeermiddelen";"2005 juli";"   85.32";"    10.7"
"072200 Brandstoffen en smeermiddelen";"2005 augustus";"   87.01";"    12.3"
"072200 Brandstoffen en smeermiddelen";"2005 september";"   90.63";"    16.9"
"072200 Brandstoffen en smeermiddelen";"2005 oktober";"   87.50";"     9.9"
"072200 Brandstoffen en smeermiddelen";"2005 november";"   83.33";"     8.2"
"072200 Brandstoffen en smeermiddelen";"2005 december";"   83.45";"    13.2"
"072200 Brandstoffen en smeermiddelen";"2006 januari";"   85.68";"    14.0"
"072200 Brandstoffen en smeermiddelen";"2006 februari";"   84.31";"     9.4"
"072200 Brandstoffen en smeermiddelen";"2006 maart";"   86.06";"     8.9"
"072200 Brandstoffen en smeermiddelen";"2006 april";"   90.27";"    11.0"
"072200 Brandstoffen en smeermiddelen";"2006 mei";"   90.09";"    13.1"
"072200 Brandstoffen en smeermiddelen";"2006 juni";"   90.74";"     9.6"
"072200 Brandstoffen en smeermiddelen";"2006 juli";"   92.51";"     8.4"
"072200 Brandstoffen en smeermiddelen";"2006 augustus";"   90.58";"     4.1"
"072200 Brandstoffen en smeermiddelen";"2006 september";"   84.06";"    -7.2"
"072200 Brandstoffen en smeermiddelen";"2006 oktober";"   82.35";"    -5.9"
"072200 Brandstoffen en smeermiddelen";"2006 november";"   82.04";"    -1.5"
"072200 Brandstoffen en smeermiddelen";"2006 december";"   83.00";"    -0.5"
"072200 Brandstoffen en smeermiddelen";"2007 januari";"   82.44";"    -3.8"
"072200 Brandstoffen en smeermiddelen";"2007 februari";"   83.91";"    -0.5"
"072200 Brandstoffen en smeermiddelen";"2007 maart";"   86.93";"     1.0"
"072200 Brandstoffen en smeermiddelen";"2007 april";"   89.79";"    -0.5"
"072200 Brandstoffen en smeermiddelen";"2007 mei";"   91.77";"     1.9"
"072200 Brandstoffen en smeermiddelen";"2007 juni";"   91.46";"     0.8"
"072200 Brandstoffen en smeermiddelen";"2007 juli";"   90.95";"    -1.7"
"072200 Brandstoffen en smeermiddelen";"2007 augustus";"   89.07";"    -1.7"
"072200 Brandstoffen en smeermiddelen";"2007 september";"   90.40";"     7.5"
"072200 Brandstoffen en smeermiddelen";"2007 oktober";"   90.30";"     9.7"
"072200 Brandstoffen en smeermiddelen";"2007 november";"   94.22";"    14.8"
"072200 Brandstoffen en smeermiddelen";"2007 december";"   92.79";"    11.8"
"072200 Brandstoffen en smeermiddelen";"2008 januari";"   93.45";"    13.4"
"072200 Brandstoffen en smeermiddelen";"2008 februari";"   94.12";"    12.2"
"072200 Brandstoffen en smeermiddelen";"2008 maart";"   95.21";"     9.5"
"072200 Brandstoffen en smeermiddelen";"2008 april";"   97.51";"     8.6"
"072200 Brandstoffen en smeermiddelen";"2008 mei";"  101.93";"    11.1"
"072200 Brandstoffen en smeermiddelen";"2008 juni";"  105.05";"    14.9"
"072200 Brandstoffen en smeermiddelen";"2008 juli";"  104.66";"    15.1"
"072200 Brandstoffen en smeermiddelen";"2008 augustus";"  100.54";"    12.9"
"072200 Brandstoffen en smeermiddelen";"2008 september";"   99.58";"    10.2"
"072200 Brandstoffen en smeermiddelen";"2008 oktober";"   91.14";"     0.9"
"072200 Brandstoffen en smeermiddelen";"2008 november";"   82.61";"   -12.3"
"072200 Brandstoffen en smeermiddelen";"2008 december";"   77.02";"   -17.0"
"072200 Brandstoffen en smeermiddelen";"2009 januari";"   79.26";"   -15.2"
"072200 Brandstoffen en smeermiddelen";"2009 februari";"   81.89";"   -13.0"
"072200 Brandstoffen en smeermiddelen";"2009 maart";"   81.68";"   -14.2"
"072200 Brandstoffen en smeermiddelen";"2009 april";"   83.45";"   -14.4"
"072200 Brandstoffen en smeermiddelen";"2009 mei";"   86.08";"   -15.5"
"072200 Brandstoffen en smeermiddelen";"2009 juni";"   89.72";"   -14.6"
"072200 Brandstoffen en smeermiddelen";"2009 juli";"   87.14";"   -16.7"
"072200 Brandstoffen en smeermiddelen";"2009 augustus";"   90.09";"   -10.4"
"072200 Brandstoffen en smeermiddelen";"2009 september";"   87.51";"   -12.1"
"072200 Brandstoffen en smeermiddelen";"2009 oktober";"   87.99";"    -3.5"
"072200 Brandstoffen en smeermiddelen";"2009 november";"   89.79";"     8.7"
"072200 Brandstoffen en smeermiddelen";"2009 december";"   89.18";"    15.8"
"072200 Brandstoffen en smeermiddelen";"2010 januari";"   92.26";"    16.4"
"072200 Brandstoffen en smeermiddelen";"2010 februari";"   92.67";"    13.2"
"072200 Brandstoffen en smeermiddelen";"2010 maart";"   95.97";"    17.5"
"072200 Brandstoffen en smeermiddelen";"2010 april";"   97.70";"    17.1"
"072200 Brandstoffen en smeermiddelen";"2010 mei";"   97.41";"    13.2"
"072200 Brandstoffen en smeermiddelen";"2010 juni";"   97.24";"     8.4"
"072200 Brandstoffen en smeermiddelen";"2010 juli";"   95.79";"     9.9"
"072200 Brandstoffen en smeermiddelen";"2010 augustus";"   95.33";"     5.8"
"072200 Brandstoffen en smeermiddelen";"2010 september";"   95.85";"     9.5"
"072200 Brandstoffen en smeermiddelen";"2010 oktober";"   95.82";"     8.9"
"072200 Brandstoffen en smeermiddelen";"2010 november";"   96.92";"     7.9"
"072200 Brandstoffen en smeermiddelen";"2010 december";"  101.12";"    13.4"
"072200 Brandstoffen en smeermiddelen";"2011 januari";"  102.86";"    11.5"
"072200 Brandstoffen en smeermiddelen";"2011 februari";"  103.21";"    11.4"
"072200 Brandstoffen en smeermiddelen";"2011 maart";"  105.72";"    10.2"
"072200 Brandstoffen en smeermiddelen";"2011 april";"  108.79";"    11.4"
"072200 Brandstoffen en smeermiddelen";"2011 mei";"  108.12";"    11.0"
"072200 Brandstoffen en smeermiddelen";"2011 juni";"  105.94";"     8.9"
"072200 Brandstoffen en smeermiddelen";"2011 juli";"  106.77";"    11.5"
"072200 Brandstoffen en smeermiddelen";"2011 augustus";"  105.37";"    10.5"
"072200 Brandstoffen en smeermiddelen";"2011 september";"  107.48";"    12.1"
"072200 Brandstoffen en smeermiddelen";"2011 oktober";"  105.68";"    10.3"
"072200 Brandstoffen en smeermiddelen";"2011 november";"  105.21";"     8.6"
"072200 Brandstoffen en smeermiddelen";"2011 december";"  105.27";"     4.1"
"072200 Brandstoffen en smeermiddelen";"2012 januari";"  109.49";"     6.4"
"072200 Brandstoffen en smeermiddelen";"2012 februari";"  111.69";"     8.2"
"072200 Brandstoffen en smeermiddelen";"2012 maart";"  114.94";"     8.7"
"072200 Brandstoffen en smeermiddelen";"2012 april";"  116.54";"     7.1"
"072200 Brandstoffen en smeermiddelen";"2012 mei";"  113.14";"     4.6"
"072200 Brandstoffen en smeermiddelen";"2012 juni";"  110.28";"     4.1"
"072200 Brandstoffen en smeermiddelen";"2012 juli";"  111.53";"     4.5"
"072200 Brandstoffen en smeermiddelen";"2012 augustus";"  114.96";"     9.1"
"072200 Brandstoffen en smeermiddelen";"2012 september";"  117.21";"     9.1"
"072200 Brandstoffen en smeermiddelen";"2012 oktober";"  117.07";"    10.8"
"072200 Brandstoffen en smeermiddelen";"2012 november";"  114.48";"     8.8"
"072200 Brandstoffen en smeermiddelen";"2012 december";"  112.31";"     6.7"
"072200 Brandstoffen en smeermiddelen";"2013 januari";"  112.95";"     3.2"
"072200 Brandstoffen en smeermiddelen";"2013 februari";"  115.42";"     3.3"
"072200 Brandstoffen en smeermiddelen";"2013 maart";"  114.21";"    -0.6"
"072200 Brandstoffen en smeermiddelen";"2013 april";"  112.35";"    -3.6"
"072200 Brandstoffen en smeermiddelen";"2013 mei";"  110.70";"    -2.2"
"072200 Brandstoffen en smeermiddelen";"2013 juni";"  111.17";"     0.8"
"072200 Brandstoffen en smeermiddelen";"2013 juli";"  112.78";"     1.1"
"072200 Brandstoffen en smeermiddelen";"2013 augustus";"  113.47";"    -1.3"
"072200 Brandstoffen en smeermiddelen";"2013 september";"  113.31";"    -3.3"
"072200 Brandstoffen en smeermiddelen";"2013 oktober";"  109.87";"    -6.2"
"072200 Brandstoffen en smeermiddelen";"2013 november";"  108.51";"    -5.2"
"072200 Brandstoffen en smeermiddelen";"2013 december";"  109.40";"    -2.6"
"072200 Brandstoffen en smeermiddelen";"2014 januari";"  110.31";"    -2.3"
"072200 Brandstoffen en smeermiddelen";"2014 februari";"  110.57";"    -4.2"
"072200 Brandstoffen en smeermiddelen";"2014 maart";"  109.83";"    -3.8"
"072200 Brandstoffen en smeermiddelen";"2014 april";"  111.86";"    -0.4"
"072200 Brandstoffen en smeermiddelen";"2014 mei";"  112.17";"     1.3"
"072200 Brandstoffen en smeermiddelen";"2014 juni";"  113.58";"     2.2"
"072200 Brandstoffen en smeermiddelen";"2014 juli";"  113.18";"     0.4"
"072200 Brandstoffen en smeermiddelen";"2014 augustus";"  111.21";"    -2.0"
"072200 Brandstoffen en smeermiddelen";"2014 september";"  111.91";"    -1.2"
"072200 Brandstoffen en smeermiddelen";"2014 oktober";"  108.87";"    -0.9"
"072200 Brandstoffen en smeermiddelen";"2014 november";"  105.92";"    -2.4"
"072200 Brandstoffen en smeermiddelen";"2014 december";"  100.21";"    -8.4"
"072200 Brandstoffen en smeermiddelen";"2015 januari";"   95.24";"   -13.7"
"072200 Brandstoffen en smeermiddelen";"2015 februari";"   98.65";"   -10.8"
"072200 Brandstoffen en smeermiddelen";"2015 maart";"  102.62";"    -6.6"
"072200 Brandstoffen en smeermiddelen";"2015 april";"  103.91";"    -7.1"
"072200 Brandstoffen en smeermiddelen";"2015 mei";"  105.58";"    -5.9"
"072200 Brandstoffen en smeermiddelen";"2015 juni";"  105.97";"    -6.7"
"072200 Brandstoffen en smeermiddelen";"2015 juli";"  105.52";"    -6.8"
"072200 Brandstoffen en smeermiddelen";"2015 augustus";"  100.42";"    -9.7"
"072200 Brandstoffen en smeermiddelen";"2015 september";"   96.83";"   -13.5"
"072200 Brandstoffen en smeermiddelen";"2015 oktober";"   95.32";"   -12.4"
"072200 Brandstoffen en smeermiddelen";"2015 november";"   96.82";"    -8.6"
"072200 Brandstoffen en smeermiddelen";"2015 december";"   93.12";"    -7.1"
"072200 Brandstoffen en smeermiddelen";"2016 januari";"   90.50";"    -5.0"
"072200 Brandstoffen en smeermiddelen";"2016 februari";"   88.61";"   -10.2"
"072200 Brandstoffen en smeermiddelen";"2016 maart";"   90.14";"   -12.2"
"072200 Brandstoffen en smeermiddelen";"2016 april";"   93.06";"   -10.4"
"072200 Brandstoffen en smeermiddelen";"2016 mei";"   95.32";"    -9.7"
"072200 Brandstoffen en smeermiddelen";"2016 juni";"   97.00";"    -8.5"
"072200 Brandstoffen en smeermiddelen";"2016 juli";"   94.22";"   -10.7"
"072200 Brandstoffen en smeermiddelen";"2016 augustus";"   93.42";"    -7.0"
"072200 Brandstoffen en smeermiddelen";"2016 september";"   95.21";"    -1.7"
"072200 Brandstoffen en smeermiddelen";"2016 oktober";"   97.39";"     2.2"
"072200 Brandstoffen en smeermiddelen";"2016 november";"   96.56";"    -0.3"
"072200 Brandstoffen en smeermiddelen";"2016 december";"   99.92";"     7.3"
"072200 Brandstoffen en smeermiddelen";"2017 januari";"  101.20";"    11.8"
"072200 Brandstoffen en smeermiddelen";"2017 februari";"  102.06";"    15.2"
"072200 Brandstoffen en smeermiddelen";"2017 maart";"  100.05";"    11.0"
"072200 Brandstoffen en smeermiddelen";"2017 april";"  101.43";"     9.0"
"072200 Brandstoffen en smeermiddelen";"2017 mei";"   98.63";"     3.5"
"072200 Brandstoffen en smeermiddelen";"2017 juni";"   97.04";"     0.0"
"072200 Brandstoffen en smeermiddelen";"2017 juli";"   96.69";"     2.6"
"072200 Brandstoffen en smeermiddelen";"2017 augustus";"   98.09";"     5.0"
"072200 Brandstoffen en smeermiddelen";"2017 september";"  100.22";"     5.3"
"072200 Brandstoffen en smeermiddelen";"2017 oktober";"   99.33";"     2.0"
"072200 Brandstoffen en smeermiddelen";"2017 november";"  102.43";"     6.1"
"072200 Brandstoffen en smeermiddelen";"2017 december";"  101.43";"     1.5"
"072200 Brandstoffen en smeermiddelen";"2018 januari";"  103.25";"     2.0"
"072200 Brandstoffen en smeermiddelen";"2018 februari";"  101.35";"    -0.7"
"072200 Brandstoffen en smeermiddelen";"2018 maart";"  100.36";"     0.3"
"072200 Brandstoffen en smeermiddelen";"2018 april";"  104.23";"     2.8"
"072200 Brandstoffen en smeermiddelen";"2018 mei";"  108.24";"     9.7"
"072200 Brandstoffen en smeermiddelen";"2018 juni";"  107.94";"    11.2"
"072200 Brandstoffen en smeermiddelen";"2018 juli";"  107.85";"    11.5"
"072200 Brandstoffen en smeermiddelen";"2018 augustus";"  109.03";"    11.2"
"072200 Brandstoffen en smeermiddelen";"2018 september";"  109.39";"     9.1"
"072200 Brandstoffen en smeermiddelen";"2018 oktober";"  108.89";"     9.6"
"072200 Brandstoffen en smeermiddelen";"2018 november";"  104.38";"     1.9"
"072200 Brandstoffen en smeermiddelen";"2018 december";"   99.33";"    -2.1"
"072200 Brandstoffen en smeermiddelen";"2019 januari";"  101.25";"    -1.9"
"072200 Brandstoffen en smeermiddelen";"2019 februari";"  103.63";"     2.2"
"072200 Brandstoffen en smeermiddelen";"2019 maart";"  106.06";"     5.7"
