"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Totaal wegvoertuigen";"Totaal";"2024 november*";371996
"Totaal wegvoertuigen";"Totaal";"2024 december*";378770
"Totaal wegvoertuigen";"Totaal";"2025 januari*";382330
"Totaal wegvoertuigen";"Totaal";"2025 februari*";348866
"Totaal wegvoertuigen";"Totaal";"2025 maart*";383927
"Totaal wegvoertuigen";"Totaal";"2025 april*";362835
"Totaal wegvoertuigen";"Totaal";"2025 mei*";380500
"Totaal wegvoertuigen";"Totaal";"2025 juni*";364434
"Totaal wegvoertuigen";"Totaal";"2025 juli*";374920
"Totaal wegvoertuigen";"Totaal";"2025 augustus*";330427
"Totaal wegvoertuigen";"Totaal";"2025 september*";350419
"Totaal wegvoertuigen";"Benzine";"2021 januari";230166
"Totaal wegvoertuigen";"Benzine";"2021 februari";210445
"Totaal wegvoertuigen";"Benzine";"2021 maart";271533
"Totaal wegvoertuigen";"Benzine";"2021 april";258892
"Totaal wegvoertuigen";"Benzine";"2021 mei";269422
"Totaal wegvoertuigen";"Benzine";"2021 juni";281247
"Totaal wegvoertuigen";"Benzine";"2021 juli";267437
"Totaal wegvoertuigen";"Benzine";"2021 augustus";227547
"Totaal wegvoertuigen";"Benzine";"2021 september";236899
"Totaal wegvoertuigen";"Benzine";"2021 oktober";233184
"Totaal wegvoertuigen";"Benzine";"2021 november";213487
"Totaal wegvoertuigen";"Benzine";"2021 december";210574
"Totaal wegvoertuigen";"Benzine";"2022 januari*";235337
"Totaal wegvoertuigen";"Benzine";"2022 februari*";211849
"Totaal wegvoertuigen";"Benzine";"2022 maart*";233640
"Totaal wegvoertuigen";"Benzine";"2022 april*";219344
"Totaal wegvoertuigen";"Benzine";"2022 mei*";226607
"Totaal wegvoertuigen";"Benzine";"2022 juni*";232968
"Totaal wegvoertuigen";"Benzine";"2022 juli*";221701
"Totaal wegvoertuigen";"Benzine";"2022 augustus*";209280
"Totaal wegvoertuigen";"Benzine";"2022 september*";215376
"Totaal wegvoertuigen";"Benzine";"2022 oktober*";213217
"Totaal wegvoertuigen";"Benzine";"2022 november*";208812
"Totaal wegvoertuigen";"Benzine";"2022 december*";194667
"Totaal wegvoertuigen";"Benzine";"2023 januari*";226391
"Totaal wegvoertuigen";"Benzine";"2023 februari*";210423
"Totaal wegvoertuigen";"Benzine";"2023 maart*";243528
"Totaal wegvoertuigen";"Benzine";"2023 april*";219790
"Totaal wegvoertuigen";"Benzine";"2023 mei*";235752
"Totaal wegvoertuigen";"Benzine";"2023 juni*";249016
"Totaal wegvoertuigen";"Benzine";"2023 juli*";231078
"Totaal wegvoertuigen";"Benzine";"2023 augustus*";214393
"Totaal wegvoertuigen";"Benzine";"2023 september*";219613
"Totaal wegvoertuigen";"Benzine";"2023 oktober*";220650
"Totaal wegvoertuigen";"Benzine";"2023 november*";213043
"Totaal wegvoertuigen";"Benzine";"2023 december*";198610
"Totaal wegvoertuigen";"Benzine";"2024 januari*";231733
"Totaal wegvoertuigen";"Benzine";"2024 februari*";224831
"Totaal wegvoertuigen";"Benzine";"2024 maart*";250339
"Totaal wegvoertuigen";"Benzine";"2024 april*";233668
"Totaal wegvoertuigen";"Benzine";"2024 mei*";243278
"Totaal wegvoertuigen";"Benzine";"2024 juni*";235278
"Totaal wegvoertuigen";"Benzine";"2024 juli*";231536
"Totaal wegvoertuigen";"Benzine";"2024 augustus*";218443
"Totaal wegvoertuigen";"Benzine";"2024 september*";219214
"Totaal wegvoertuigen";"Benzine";"2024 oktober*";235709
"Totaal wegvoertuigen";"Benzine";"2024 november*";222075
"Totaal wegvoertuigen";"Benzine";"2024 december*";204121
"Totaal wegvoertuigen";"Benzine";"2025 januari*";237572
"Totaal wegvoertuigen";"Benzine";"2025 februari*";220202
"Totaal wegvoertuigen";"Benzine";"2025 maart*";245772
"Totaal wegvoertuigen";"Benzine";"2025 april*";232661
"Totaal wegvoertuigen";"Benzine";"2025 mei*";245838
"Totaal wegvoertuigen";"Benzine";"2025 juni*";228363
"Totaal wegvoertuigen";"Benzine";"2025 juli*";236348
"Totaal wegvoertuigen";"Benzine";"2025 augustus*";212903
"Totaal wegvoertuigen";"Benzine";"2025 september*";216480
"Totaal wegvoertuigen";"Diesel";"2021 januari";69708
"Totaal wegvoertuigen";"Diesel";"2021 februari";66011
"Totaal wegvoertuigen";"Diesel";"2021 maart";77663
"Totaal wegvoertuigen";"Diesel";"2021 april";69092
"Totaal wegvoertuigen";"Diesel";"2021 mei";66660
"Totaal wegvoertuigen";"Diesel";"2021 juni";68696
"Totaal wegvoertuigen";"Diesel";"2021 juli";65527
"Totaal wegvoertuigen";"Diesel";"2021 augustus";53388
"Totaal wegvoertuigen";"Diesel";"2021 september";58894
"Totaal wegvoertuigen";"Diesel";"2021 oktober";60086
"Totaal wegvoertuigen";"Diesel";"2021 november";60034
"Totaal wegvoertuigen";"Diesel";"2021 december";58187
"Totaal wegvoertuigen";"Diesel";"2022 januari*";64533
"Totaal wegvoertuigen";"Diesel";"2022 februari*";57496
"Totaal wegvoertuigen";"Diesel";"2022 maart*";61403
"Totaal wegvoertuigen";"Diesel";"2022 april*";55048
"Totaal wegvoertuigen";"Diesel";"2022 mei*";54964
"Totaal wegvoertuigen";"Diesel";"2022 juni*";58016
"Totaal wegvoertuigen";"Diesel";"2022 juli*";53916
"Totaal wegvoertuigen";"Diesel";"2022 augustus*";46418
"Totaal wegvoertuigen";"Diesel";"2022 september*";51567
"Totaal wegvoertuigen";"Diesel";"2022 oktober*";52004
"Totaal wegvoertuigen";"Diesel";"2022 november*";55032
"Totaal wegvoertuigen";"Diesel";"2022 december*";51699
"Totaal wegvoertuigen";"Diesel";"2023 januari*";58198
"Totaal wegvoertuigen";"Diesel";"2023 februari*";53789
"Totaal wegvoertuigen";"Diesel";"2023 maart*";62292
"Totaal wegvoertuigen";"Diesel";"2023 april*";52083
"Totaal wegvoertuigen";"Diesel";"2023 mei*";54764
"Totaal wegvoertuigen";"Diesel";"2023 juni*";59053
"Totaal wegvoertuigen";"Diesel";"2023 juli*";54655
"Totaal wegvoertuigen";"Diesel";"2023 augustus*";48561
"Totaal wegvoertuigen";"Diesel";"2023 september*";50512
"Totaal wegvoertuigen";"Diesel";"2023 oktober*";53802
"Totaal wegvoertuigen";"Diesel";"2023 november*";53346
"Totaal wegvoertuigen";"Diesel";"2023 december*";48060
"Totaal wegvoertuigen";"Diesel";"2024 januari*";56028
"Totaal wegvoertuigen";"Diesel";"2024 februari*";53638
"Totaal wegvoertuigen";"Diesel";"2024 maart*";59326
"Totaal wegvoertuigen";"Diesel";"2024 april*";56712
"Totaal wegvoertuigen";"Diesel";"2024 mei*";55190
"Totaal wegvoertuigen";"Diesel";"2024 juni*";54350
"Totaal wegvoertuigen";"Diesel";"2024 juli*";56347
"Totaal wegvoertuigen";"Diesel";"2024 augustus*";47640
"Totaal wegvoertuigen";"Diesel";"2024 september*";54093
"Totaal wegvoertuigen";"Diesel";"2024 oktober*";61634
"Totaal wegvoertuigen";"Diesel";"2024 november*";63486
"Totaal wegvoertuigen";"Diesel";"2024 december*";83754
"Totaal wegvoertuigen";"Diesel";"2025 januari*";52505
"Totaal wegvoertuigen";"Diesel";"2025 februari*";46463
"Totaal wegvoertuigen";"Diesel";"2025 maart*";48558
"Totaal wegvoertuigen";"Diesel";"2025 april*";46509
"Totaal wegvoertuigen";"Diesel";"2025 mei*";44424
"Totaal wegvoertuigen";"Diesel";"2025 juni*";42749
"Totaal wegvoertuigen";"Diesel";"2025 juli*";45174
"Totaal wegvoertuigen";"Diesel";"2025 augustus*";34856
"Totaal wegvoertuigen";"Diesel";"2025 september*";40020
"Totaal wegvoertuigen";"Lpg";"2021 januari";3200
"Totaal wegvoertuigen";"Lpg";"2021 februari";2873
"Totaal wegvoertuigen";"Lpg";"2021 maart";3382
"Totaal wegvoertuigen";"Lpg";"2021 april";3167
"Totaal wegvoertuigen";"Lpg";"2021 mei";3256
"Totaal wegvoertuigen";"Lpg";"2021 juni";3424
"Totaal wegvoertuigen";"Lpg";"2021 juli";3449
"Totaal wegvoertuigen";"Lpg";"2021 augustus";2865
"Totaal wegvoertuigen";"Lpg";"2021 september";3214
"Totaal wegvoertuigen";"Lpg";"2021 oktober";3321
"Totaal wegvoertuigen";"Lpg";"2021 november";3050
"Totaal wegvoertuigen";"Lpg";"2021 december";2875
"Totaal wegvoertuigen";"Lpg";"2022 januari*";3297
"Totaal wegvoertuigen";"Lpg";"2022 februari*";2831
"Totaal wegvoertuigen";"Lpg";"2022 maart*";3061
"Totaal wegvoertuigen";"Lpg";"2022 april*";2536
"Totaal wegvoertuigen";"Lpg";"2022 mei*";2554
"Totaal wegvoertuigen";"Lpg";"2022 juni*";3059
"Totaal wegvoertuigen";"Lpg";"2022 juli*";2771
"Totaal wegvoertuigen";"Lpg";"2022 augustus*";2446
"Totaal wegvoertuigen";"Lpg";"2022 september*";2675
"Totaal wegvoertuigen";"Lpg";"2022 oktober*";2751
"Totaal wegvoertuigen";"Lpg";"2022 november*";2796
"Totaal wegvoertuigen";"Lpg";"2022 december*";2587
"Totaal wegvoertuigen";"Lpg";"2023 januari*";2836
"Totaal wegvoertuigen";"Lpg";"2023 februari*";2631
"Totaal wegvoertuigen";"Lpg";"2023 maart*";2921
"Totaal wegvoertuigen";"Lpg";"2023 april*";2704
"Totaal wegvoertuigen";"Lpg";"2023 mei*";2859
"Totaal wegvoertuigen";"Lpg";"2023 juni*";3118
"Totaal wegvoertuigen";"Lpg";"2023 juli*";2992
"Totaal wegvoertuigen";"Lpg";"2023 augustus*";2766
"Totaal wegvoertuigen";"Lpg";"2023 september*";3042
"Totaal wegvoertuigen";"Lpg";"2023 oktober*";2945
"Totaal wegvoertuigen";"Lpg";"2023 november*";2886
"Totaal wegvoertuigen";"Lpg";"2023 december*";2721
"Totaal wegvoertuigen";"Lpg";"2024 januari*";2946
"Totaal wegvoertuigen";"Lpg";"2024 februari*";2840
"Totaal wegvoertuigen";"Lpg";"2024 maart*";3156
"Totaal wegvoertuigen";"Lpg";"2024 april*";3000
"Totaal wegvoertuigen";"Lpg";"2024 mei*";3090
"Totaal wegvoertuigen";"Lpg";"2024 juni*";3152
"Totaal wegvoertuigen";"Lpg";"2024 juli*";2980
"Totaal wegvoertuigen";"Lpg";"2024 augustus*";2764
"Totaal wegvoertuigen";"Lpg";"2024 september*";3000
"Totaal wegvoertuigen";"Lpg";"2024 oktober*";3108
"Totaal wegvoertuigen";"Lpg";"2024 november*";3076
"Totaal wegvoertuigen";"Lpg";"2024 december*";3436
"Totaal wegvoertuigen";"Lpg";"2025 januari*";3050
"Totaal wegvoertuigen";"Lpg";"2025 februari*";2847
"Totaal wegvoertuigen";"Lpg";"2025 maart*";3035
"Totaal wegvoertuigen";"Lpg";"2025 april*";2775
"Totaal wegvoertuigen";"Lpg";"2025 mei*";3013
"Totaal wegvoertuigen";"Lpg";"2025 juni*";2915
"Totaal wegvoertuigen";"Lpg";"2025 juli*";2856
"Totaal wegvoertuigen";"Lpg";"2025 augustus*";2545
"Totaal wegvoertuigen";"Lpg";"2025 september*";2715
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 januari";8633
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 februari";7325
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 maart";10882
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 april";10148
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 mei";11834
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 juni";15736
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 juli";14522
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 augustus";14615
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 september";15143
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 oktober";14904
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 november";16421
"Totaal wegvoertuigen";"Full elektric (BEV)";"2021 december";29509
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 januari*";16338
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 februari*";12278
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 maart*";18662
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 april*";16571
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 mei*";15954
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 juni*";18977
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 juli*";16504
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 augustus*";17508
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 september*";15637
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 oktober*";14854
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 november*";15395
"Totaal wegvoertuigen";"Full elektric (BEV)";"2022 december*";22443
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 januari*";16487
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 februari*";16593
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 maart*";24311
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 april*";18281
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 mei*";22305
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 juni*";27262
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 juli*";27851
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 augustus*";22109
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 september*";26040
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 oktober*";23240
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 november*";23676
"Totaal wegvoertuigen";"Full elektric (BEV)";"2023 december*";23490
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 januari*";24325
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 februari*";22060
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 maart*";29193
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 april*";25326
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 mei*";26602
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 juni*";27729
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 juli*";25369
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 augustus*";23683
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 september*";28819
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 oktober*";30490
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 november*";32622
"Totaal wegvoertuigen";"Full elektric (BEV)";"2024 december*";39584
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 januari*";33681
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 februari*";29076
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 maart*";31099
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 april*";28267
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 mei*";31476
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 juni*";32638
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 juli*";31017
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 augustus*";28081
"Totaal wegvoertuigen";"Full elektric (BEV)";"2025 september*";33514
"Totaal wegvoertuigen";"Totaal hybrides";"2021 januari";27090
"Totaal wegvoertuigen";"Totaal hybrides";"2021 februari";19891
"Totaal wegvoertuigen";"Totaal hybrides";"2021 maart";23387
"Totaal wegvoertuigen";"Totaal hybrides";"2021 april";22561
"Totaal wegvoertuigen";"Totaal hybrides";"2021 mei";22214
"Totaal wegvoertuigen";"Totaal hybrides";"2021 juni";24870
"Totaal wegvoertuigen";"Totaal hybrides";"2021 juli";22990
"Totaal wegvoertuigen";"Totaal hybrides";"2021 augustus";19846
"Totaal wegvoertuigen";"Totaal hybrides";"2021 september";22318
"Totaal wegvoertuigen";"Totaal hybrides";"2021 oktober";22345
"Totaal wegvoertuigen";"Totaal hybrides";"2021 november";22934
"Totaal wegvoertuigen";"Totaal hybrides";"2021 december";21353
"Totaal wegvoertuigen";"Totaal hybrides";"2022 januari*";28059
"Totaal wegvoertuigen";"Totaal hybrides";"2022 februari*";24034
"Totaal wegvoertuigen";"Totaal hybrides";"2022 maart*";25642
"Totaal wegvoertuigen";"Totaal hybrides";"2022 april*";24099
"Totaal wegvoertuigen";"Totaal hybrides";"2022 mei*";22450
"Totaal wegvoertuigen";"Totaal hybrides";"2022 juni*";24537
"Totaal wegvoertuigen";"Totaal hybrides";"2022 juli*";22436
"Totaal wegvoertuigen";"Totaal hybrides";"2022 augustus*";21600
"Totaal wegvoertuigen";"Totaal hybrides";"2022 september*";24278
"Totaal wegvoertuigen";"Totaal hybrides";"2022 oktober*";26108
"Totaal wegvoertuigen";"Totaal hybrides";"2022 november*";26068
"Totaal wegvoertuigen";"Totaal hybrides";"2022 december*";23307
"Totaal wegvoertuigen";"Totaal hybrides";"2023 januari*";28918
"Totaal wegvoertuigen";"Totaal hybrides";"2023 februari*";27642
"Totaal wegvoertuigen";"Totaal hybrides";"2023 maart*";32381
"Totaal wegvoertuigen";"Totaal hybrides";"2023 april*";29111
"Totaal wegvoertuigen";"Totaal hybrides";"2023 mei*";30305
"Totaal wegvoertuigen";"Totaal hybrides";"2023 juni*";35566
"Totaal wegvoertuigen";"Totaal hybrides";"2023 juli*";33097
"Totaal wegvoertuigen";"Totaal hybrides";"2023 augustus*";31251
"Totaal wegvoertuigen";"Totaal hybrides";"2023 september*";33793
"Totaal wegvoertuigen";"Totaal hybrides";"2023 oktober*";35181
"Totaal wegvoertuigen";"Totaal hybrides";"2023 november*";36332
"Totaal wegvoertuigen";"Totaal hybrides";"2023 december*";35193
"Totaal wegvoertuigen";"Totaal hybrides";"2024 januari*";43262
"Totaal wegvoertuigen";"Totaal hybrides";"2024 februari*";41067
"Totaal wegvoertuigen";"Totaal hybrides";"2024 maart*";45844
"Totaal wegvoertuigen";"Totaal hybrides";"2024 april*";42479
"Totaal wegvoertuigen";"Totaal hybrides";"2024 mei*";42052
"Totaal wegvoertuigen";"Totaal hybrides";"2024 juni*";46006
"Totaal wegvoertuigen";"Totaal hybrides";"2024 juli*";45403
"Totaal wegvoertuigen";"Totaal hybrides";"2024 augustus*";41475
"Totaal wegvoertuigen";"Totaal hybrides";"2024 september*";42789
"Totaal wegvoertuigen";"Totaal hybrides";"2024 oktober*";50846
"Totaal wegvoertuigen";"Totaal hybrides";"2024 november*";50174
"Totaal wegvoertuigen";"Totaal hybrides";"2024 december*";47349
"Totaal wegvoertuigen";"Totaal hybrides";"2025 januari*";54993
"Totaal wegvoertuigen";"Totaal hybrides";"2025 februari*";49773
"Totaal wegvoertuigen";"Totaal hybrides";"2025 maart*";54915
"Totaal wegvoertuigen";"Totaal hybrides";"2025 april*";52052
"Totaal wegvoertuigen";"Totaal hybrides";"2025 mei*";55283
"Totaal wegvoertuigen";"Totaal hybrides";"2025 juni*";57248
"Totaal wegvoertuigen";"Totaal hybrides";"2025 juli*";58963
"Totaal wegvoertuigen";"Totaal hybrides";"2025 augustus*";51604
"Totaal wegvoertuigen";"Totaal hybrides";"2025 september*";57164
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 januari";462
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 februari";403
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 maart";564
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 april";490
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 mei";437
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 juni";455
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 juli";477
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 augustus";425
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 september";441
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 oktober";435
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 november";484
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2021 december";507
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 januari*";617
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 februari*";427
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 maart*";454
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 april*";386
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 mei*";504
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 juni*";563
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 juli*";420
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 augustus*";358
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 september*";378
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 oktober*";476
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 november*";473
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2022 december*";439
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 januari*";430
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 februari*";397
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 maart*";446
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 april*";423
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 mei*";413
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 juni*";557
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 juli*";560
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 augustus*";433
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 september*";426
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 oktober*";501
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 november*";495
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2023 december*";490
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 januari*";489
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 februari*";426
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 maart*";512
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 april*";450
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 mei*";429
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 juni*";506
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 juli*";530
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 augustus*";465
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 september*";445
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 oktober*";508
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 november*";563
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2024 december*";526
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 januari*";529
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 februari*";505
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 maart*";548
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 april*";571
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 mei*";466
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 juni*";521
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 juli*";562
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 augustus*";438
"Totaal wegvoertuigen";"Overige/onbekende brandstof";"2025 september*";526
"Personenauto";"Totaal";"2021 januari";268443
"Personenauto";"Totaal";"2021 februari";237428
"Personenauto";"Totaal";"2021 maart";289652
"Personenauto";"Totaal";"2021 april";272934
"Personenauto";"Totaal";"2021 mei";282349
"Personenauto";"Totaal";"2021 juni";297957
"Personenauto";"Totaal";"2021 juli";287885
"Personenauto";"Totaal";"2021 augustus";244144
"Personenauto";"Totaal";"2021 september";258140
"Personenauto";"Totaal";"2021 oktober";261408
"Personenauto";"Totaal";"2021 november";249016
"Personenauto";"Totaal";"2021 december";258705
"Personenauto";"Totaal";"2022 januari*";276135
"Personenauto";"Totaal";"2022 februari*";242386
"Personenauto";"Totaal";"2022 maart*";253928
"Personenauto";"Totaal";"2022 april*";235136
"Personenauto";"Totaal";"2022 mei*";237115
"Personenauto";"Totaal";"2022 juni*";252449
"Personenauto";"Totaal";"2022 juli*";236272
"Personenauto";"Totaal";"2022 augustus*";222048
"Personenauto";"Totaal";"2022 september*";235849
"Personenauto";"Totaal";"2022 oktober*";239258
"Personenauto";"Totaal";"2022 november*";241480
"Personenauto";"Totaal";"2022 december*";234429
"Personenauto";"Totaal";"2023 januari*";261993
"Personenauto";"Totaal";"2023 februari*";243049
"Personenauto";"Totaal";"2023 maart*";283018
"Personenauto";"Totaal";"2023 april*";245695
"Personenauto";"Totaal";"2023 mei*";261143
