"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Totaal wegvoertuigen";"Totaal";"2021 januari";339259
"Totaal wegvoertuigen";"Totaal";"2021 februari";306948
"Totaal wegvoertuigen";"Totaal";"2021 maart";387411
"Totaal wegvoertuigen";"Totaal";"2021 april";364350
"Totaal wegvoertuigen";"Totaal";"2021 mei";373823
"Totaal wegvoertuigen";"Totaal";"2021 juni";394428
"Totaal wegvoertuigen";"Totaal";"2021 juli";374402
"Totaal wegvoertuigen";"Totaal";"2021 augustus";318686
"Totaal wegvoertuigen";"Totaal";"2021 september";336909
"Totaal wegvoertuigen";"Totaal";"2021 oktober";334275
"Totaal wegvoertuigen";"Totaal";"2021 november";316410
"Totaal wegvoertuigen";"Totaal";"2021 december";323005
"Totaal wegvoertuigen";"Totaal";"2022 januari*";348181
"Totaal wegvoertuigen";"Totaal";"2022 februari*";308915
"Totaal wegvoertuigen";"Totaal";"2022 maart*";342862
"Totaal wegvoertuigen";"Totaal";"2022 april*";317984
"Totaal wegvoertuigen";"Totaal";"2022 mei*";323033
"Totaal wegvoertuigen";"Totaal";"2022 juni*";338120
"Totaal wegvoertuigen";"Totaal";"2022 juli*";317748
"Totaal wegvoertuigen";"Totaal";"2022 augustus*";297610
"Totaal wegvoertuigen";"Totaal";"2022 september*";309911
"Totaal wegvoertuigen";"Totaal";"2022 oktober*";309410
"Totaal wegvoertuigen";"Totaal";"2022 november*";308576
"Totaal wegvoertuigen";"Totaal";"2022 december*";295142
"Totaal wegvoertuigen";"Totaal";"2023 januari*";333260
"Totaal wegvoertuigen";"Totaal";"2023 februari*";311475
"Totaal wegvoertuigen";"Totaal";"2023 maart*";365879
"Totaal wegvoertuigen";"Totaal";"2023 april*";322392
"Totaal wegvoertuigen";"Totaal";"2023 mei*";346398
"Totaal wegvoertuigen";"Totaal";"2023 juni*";374572
"Totaal wegvoertuigen";"Totaal";"2023 juli*";350233
"Totaal wegvoertuigen";"Totaal";"2023 augustus*";319513
"Totaal wegvoertuigen";"Totaal";"2023 september*";333426
"Totaal wegvoertuigen";"Totaal";"2023 oktober*";336319
"Totaal wegvoertuigen";"Totaal";"2023 november*";329778
"Totaal wegvoertuigen";"Totaal";"2023 december*";308564
"Totaal wegvoertuigen";"Totaal";"2024 januari*";358783
"Totaal wegvoertuigen";"Totaal";"2024 februari*";344862
"Totaal wegvoertuigen";"Totaal";"2024 maart*";388370
"Totaal wegvoertuigen";"Totaal";"2024 april*";361635
"Totaal wegvoertuigen";"Totaal";"2024 mei*";370641
"Totaal wegvoertuigen";"Totaal";"2024 juni*";367021
"Totaal wegvoertuigen";"Totaal";"2024 juli*";362165
"Totaal wegvoertuigen";"Totaal";"2024 augustus*";334470
"Totaal wegvoertuigen";"Totaal";"2024 september*";348360
"Totaal wegvoertuigen";"Totaal";"2024 oktober*";382295
