"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2017 februari";"  258559"
"Personenauto";"Totaal";"2017 maart";"  290407"
"Personenauto";"Totaal";"2017 april";"  247092"
"Personenauto";"Totaal";"2017 mei";"  280324"
"Personenauto";"Totaal";"2017 juni";"  289854"
"Personenauto";"Totaal";"2017 juli";"  275438"
"Personenauto";"Totaal";"2017 augustus";"  255378"
"Personenauto";"Totaal";"2017 september";"  268701"
"Personenauto";"Totaal";"2017 oktober";"  274231"
"Personenauto";"Totaal";"2017 november";"  273254"
"Personenauto";"Totaal";"2017 december";"  234953"
"Personenauto";"Totaal";"2018 januari";"  312471"
"Personenauto";"Totaal";"2018 februari";"  264207"
"Personenauto";"Totaal";"2018 maart";"  300625"
"Personenauto";"Totaal";"2018 april";"  255139"
"Personenauto";"Totaal";"2018 mei";"  276699"
"Personenauto";"Totaal";"2018 juni";"  303763"
"Personenauto";"Totaal";"2018 juli";"  277713"
"Personenauto";"Totaal";"2018 augustus";"  266203"
"Personenauto";"Totaal";"2018 september";"  257021"
"Personenauto";"Totaal";"2018 oktober";"  273113"
"Personenauto";"Totaal";"2018 november";"  269241"
"Personenauto";"Totaal";"2018 december";"  231944"
"Personenauto";"Totaal";"2019 januari";"  294291"
"Personenauto";"Totaal";"2019 februari";"  260509"
"Personenauto";"Totaal";"2019 maart";"  278454"
"Personenauto";"Totaal";"2019 april";"  259102"
"Personenauto";"Totaal";"2019 mei";"  293289"
"Personenauto";"Totaal";"2019 juni";"  270887"
"Personenauto";"Totaal";"2019 juli";"  275647"
"Personenauto";"Totaal";"2019 augustus";"  260591"
"Personenauto";"Totaal";"2019 september";"  261902"
"Personenauto";"Totaal";"2019 oktober";"  289994"
"Personenauto";"Totaal";"2019 november";"  287130"
"Personenauto";"Totaal";"2019 december";"  268872"
"Personenauto";"Totaal";"2020 januari";"  312175"
"Personenauto";"Totaal";"2020 februari";"  274710"
"Personenauto";"Totaal";"2020 maart";"  253074"
"Personenauto";"Totaal";"2020 april";"  201158"
