"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071110 Nieuwe auto's";"2003 november";"   83.94";"     3.7"
"071110 Nieuwe auto's";"2003 december";"   84.50";"     4.4"
"071110 Nieuwe auto's";"2004 januari";"   85.11";"     2.8"
"071110 Nieuwe auto's";"2004 februari";"   85.11";"     2.8"
"071110 Nieuwe auto's";"2004 maart";"   85.19";"     2.6"
"071110 Nieuwe auto's";"2004 april";"   85.38";"     2.4"
"071110 Nieuwe auto's";"2004 mei";"   85.38";"     2.4"
"071110 Nieuwe auto's";"2004 juni";"   85.31";"     2.1"
"071110 Nieuwe auto's";"2004 juli";"   85.01";"     1.5"
"071110 Nieuwe auto's";"2004 augustus";"   85.01";"     1.5"
"071110 Nieuwe auto's";"2004 september";"   85.18";"     1.6"
"071110 Nieuwe auto's";"2004 oktober";"   85.77";"     2.2"
"071110 Nieuwe auto's";"2004 november";"   85.77";"     2.2"
"071110 Nieuwe auto's";"2004 december";"   85.93";"     1.7"
"071110 Nieuwe auto's";"2005 januari";"   86.47";"     1.6"
"071110 Nieuwe auto's";"2005 februari";"   86.47";"     1.6"
"071110 Nieuwe auto's";"2005 maart";"   86.79";"     1.9"
"071110 Nieuwe auto's";"2005 april";"   87.25";"     2.2"
"071110 Nieuwe auto's";"2005 mei";"   87.25";"     2.2"
"071110 Nieuwe auto's";"2005 juni";"   87.43";"     2.5"
"071110 Nieuwe auto's";"2005 juli";"   87.60";"     3.0"
"071110 Nieuwe auto's";"2005 augustus";"   87.60";"     3.0"
"071110 Nieuwe auto's";"2005 september";"   87.74";"     3.0"
"071110 Nieuwe auto's";"2005 oktober";"   87.99";"     2.6"
"071110 Nieuwe auto's";"2005 november";"   87.99";"     2.6"
"071110 Nieuwe auto's";"2005 december";"   88.42";"     2.9"
"071110 Nieuwe auto's";"2006 januari";"   88.58";"     2.4"
"071110 Nieuwe auto's";"2006 februari";"   88.58";"     2.4"
"071110 Nieuwe auto's";"2006 maart";"   88.61";"     2.1"
"071110 Nieuwe auto's";"2006 april";"   89.03";"     2.0"
"071110 Nieuwe auto's";"2006 mei";"   89.18";"     2.2"
"071110 Nieuwe auto's";"2006 juni";"   89.21";"     2.0"
"071110 Nieuwe auto's";"2006 juli";"   88.63";"     1.2"
"071110 Nieuwe auto's";"2006 augustus";"   88.58";"     1.1"
"071110 Nieuwe auto's";"2006 september";"   89.13";"     1.6"
"071110 Nieuwe auto's";"2006 oktober";"   89.10";"     1.3"
"071110 Nieuwe auto's";"2006 november";"   89.10";"     1.3"
"071110 Nieuwe auto's";"2006 december";"   89.05";"     0.7"
"071110 Nieuwe auto's";"2007 januari";"   89.57";"     1.1"
"071110 Nieuwe auto's";"2007 februari";"   89.56";"     1.1"
"071110 Nieuwe auto's";"2007 maart";"   89.93";"     1.5"
"071110 Nieuwe auto's";"2007 april";"   90.00";"     1.1"
"071110 Nieuwe auto's";"2007 mei";"   90.10";"     1.0"
"071110 Nieuwe auto's";"2007 juni";"   90.12";"     1.0"
"071110 Nieuwe auto's";"2007 juli";"   90.09";"     1.6"
"071110 Nieuwe auto's";"2007 augustus";"   89.90";"     1.5"
"071110 Nieuwe auto's";"2007 september";"   89.95";"     0.9"
"071110 Nieuwe auto's";"2007 oktober";"   89.99";"     1.0"
"071110 Nieuwe auto's";"2007 november";"   89.96";"     1.0"
"071110 Nieuwe auto's";"2007 december";"   89.91";"     1.0"
"071110 Nieuwe auto's";"2008 januari";"   90.01";"     0.5"
"071110 Nieuwe auto's";"2008 februari";"   89.28";"    -0.3"
"071110 Nieuwe auto's";"2008 maart";"   89.20";"    -0.8"
