,Royementen_Act,Royementen_Pred,Royementen_%,NewBusiness_Act,NewBusiness_Pred,NewBusiness_%,Prolongaties_Act,Prolongaties_Pred,Prolongaties_%,Netto_Act,Netto_Pred,Netto_%
2025-01,2611,2299,11.9,2836,2856,0.7,14523,14471,0.4,225,557,147.6
2025-02,2240,2060,8.0,2566,2536,1.2,11385,10684,6.2,326,476,46.0
2025-03,2375,2179,8.3,2835,2882,1.7,12729,11905,6.5,460,703,52.8
2025-04,2374,1983,16.5,2064,2697,30.7,10986,10930,0.5,-310,714,330.3
2025-05,2382,2007,15.7,2043,2852,39.6,11143,11002,1.3,-339,845,349.3
2025-06,2310,1994,13.7,1988,2968,49.3,11842,11726,1.0,-322,974,402.5
2025-07,2498,2062,17.5,2083,2991,43.6,11660,11826,1.4,-415,929,323.9
2025-08,2313,1974,14.7,1896,2705,42.7,10609,10597,0.1,-417,731,275.3
2025-09,2220,1980,10.8,1746,2935,68.1,10877,11028,1.4,-474,955,301.5
2025-10,2611,2025,22.4,2187,3156,44.3,11847,12438,5.0,-424,1131,366.7
2025-11,2422,2092,13.6,1845,3218,74.4,12220,12699,3.9,-577,1126,295.1
2025-12,2441,2068,15.3,1829,3453,88.8,11289,11631,3.0,-612,1385,326.3
