,Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,CBS_Autoverkopen_Totaal,CPI_Verzekeringen_Vervoer,Jaarmutatie_CPI_Verzekeringen_Vervoer,CPI_Nieuwe_Autos,Jaarmutatie_CPI_Nieuwe_Autos,CPI_Tweedehands_Autos,Jaarmutatie_CPI_Tweedehands_Autos,CPI_Onderhoud_en_Reparatie_Privevoertuigen,Jaarmutatie_CPI_Onderhoud_en_Reparatie_Privevoertuigen,CPI_Brandstoffen,Jaarmutatie_CPI_Brandstoffen
19,201702,Auto Particulier,BCS Polis,2009,944062.02,2159,1012387.72,179,83893.58,28,15224.53,36,18087.89,17550.74,46,23069.2,23728.26,469.916386,468.915108,-537.15,502.441388,487.520555,258559,107.19,6.8,103.64,1.9,102.83,2.7,104.21,2.1,102.06,15.2
20,201703,Auto Particulier,BCS Polis,2159,1012387.72,2324,1084842.81,195,86750.71,30,12727.61,52,27231.7,25731.75,69,34398.12,35226.83,468.915108,466.799832,-1499.95,523.686538,494.841346,290407,107.16,6.5,103.45,1.7,102.86,2.5,103.73,2.2,100.05,11.0
21,201704,Auto Particulier,BCS Polis,2324,1084842.81,2465,1141443.87,167,69499.48,26,14299.03,39,21923.87,21666.44,57,24254.68,26266.75,466.799832,463.060393,-257.43,562.150512,555.549743,247092,107.17,3.6,103.49,1.7,102.98,2.3,102.45,-0.2,101.43,9.0
22,201705,Auto Particulier,BCS Polis,2465,1141443.87,2466,1141996.05,33,17148.0,28,11960.37,153,71987.81,70461.49,52,27737.16,25859.67,463.060393,463.096532,-1526.32,470.508562,460.532614,280324,106.09,3.8,104.2,2.3,103.12,2.2,101.88,-0.6,98.63,3.5
23,201706,Auto Particulier,BCS Polis,2466,1141996.05,2461,1142746.7,35,19797.48,38,20070.0,173,81814.55,84954.79,56,27250.76,26905.09,463.096532,464.342421,3140.24,472.916473,491.06815,289854,108.57,6.0,104.31,2.3,103.06,2.0,100.42,-2.0,97.04,0.0
24,201707,Auto Particulier,BCS Polis,2461,1142746.7,2482,1160058.97,54,29799.21,29,12976.87,180,85015.87,87994.32,66,30491.2,30590.59,464.342421,467.388787,2978.45,472.310388,488.857333,275438,108.57,5.9,104.55,2.4,103.05,1.4,98.55,-3.4,96.69,2.6
25,201708,Auto Particulier,BCS Polis,2482,1160058.97,2477,1157479.99,30,14393.05,34,20668.49,181,81840.13,84606.63,48,22857.05,24185.5,467.388787,467.291073,2766.5,452.155414,467.439944,255378,108.9,6.2,104.6,2.4,103.1,0.8,99.25,-2.9,98.09,5.0
26,201709,Auto Particulier,BCS Polis,2477,1157479.99,2482,1166019.34,29,13483.54,24,11489.63,171,71199.51,74680.79,50,22686.63,25750.79,467.291073,469.790225,3481.28,416.371403,436.729766,268701,108.9,6.5,104.63,2.4,103.2,0.8,100.41,-1.6,100.22,5.3
27,201710,Auto Particulier,BCS Polis,2482,1166019.34,2474,1166946.81,24,12635.17,30,14807.34,185,81834.13,85233.5,46,23739.28,24171.26,469.790225,471.68424,3399.37,442.346648,460.721621,274231,111.15,8.7,104.91,2.8,103.57,1.1,101.74,-1.4,99.33,2.0
28,201711,Auto Particulier,BCS Polis,2474,1166946.81,2477,1173347.52,27,14621.12,23,12777.63,188,91378.65,98122.88,54,31434.68,29535.52,471.68424,473.69702,6744.23,486.056648,521.930212,273254,111.51,9.1,105.23,3.6,103.4,1.3,101.55,-2.2,102.43,6.1
29,201712,Auto Particulier,BCS Polis,2477,1173347.52,2481,1179870.34,40,19387.71,34,16386.38,189,90093.12,93814.74,56,26909.84,26829.75,473.69702,475.56241,3721.62,476.683174,496.374285,234953,111.61,7.0,105.23,3.6,103.15,0.4,101.43,-2.3,101.43,1.5
30,201801,Auto Particulier,BCS Polis,2481,1179870.34,2482,1182071.81,47,22207.84,43,25774.07,190,85919.87,92880.52,75,34949.34,34314.29,475.56241,476.25778,6960.65,452.209842,488.844842,312471,113.46,7.7,107.02,3.3,102.59,-0.6,99.79,-3.3,103.25,2.0
31,201802,Auto Particulier,BCS Polis,2482,1182071.81,2465,1172738.75,23,12567.54,35,20339.04,156,69341.93,73772.74,64,35348.6,35206.34,476.25778,475.756085,4430.81,444.499551,472.902179,264207,113.46,5.8,107.02,3.3,102.27,-0.5,98.82,-5.2,101.35,-0.7
32,201803,Auto Particulier,BCS Polis,2465,1172738.75,2457,1176028.82,34,17985.27,42,21371.48,189,83200.1,87360.0,63,30828.15,33344.53,475.756085,478.644208,4159.9,440.212169,462.222222,300625,112.99,5.4,107.48,3.9,102.27,-0.6,100.86,-2.8,100.36,0.3
33,201804,Auto Particulier,BCS Polis,2457,1176028.82,2466,1182106.0,38,17084.2,28,14589.41,167,74982.96,79422.93,50,22614.7,21908.37,478.644208,479.361719,4439.97,448.99976,475.586407,255139,113.04,5.5,107.68,4.0,102.35,-0.6,102.28,-0.2,104.23,2.8
34,201805,Auto Particulier,BCS Polis,2466,1182106.0,2464,1189503.56,29,22975.38,29,14033.8,157,73840.22,77753.58,35,19754.5,19031.7,479.361719,482.753068,3913.36,470.319872,495.245732,276699,112.75,6.3,108.66,4.3,101.66,-1.4,102.82,0.9,108.24,9.7
35,201806,Auto Particulier,BCS Polis,2464,1189503.56,2462,1185331.43,27,12584.73,28,14579.72,173,80257.66,80145.92,59,28210.18,27911.54,482.753068,481.450621,-111.74,463.917109,463.271213,303763,113.03,4.1,108.56,4.1,102.41,-0.6,103.24,2.8,107.94,11.2
36,201807,Auto Particulier,BCS Polis,2462,1185331.43,2465,1186148.74,38,21563.23,34,19711.02,195,99126.57,97384.32,62,32955.29,34197.95,481.450621,481.196243,-1742.25,508.341384,499.406769,277713,113.08,4.2,108.67,3.9,101.77,-1.2,102.12,3.6,107.85,11.5
37,201808,Auto Particulier,BCS Polis,2465,1186148.74,2453,1181270.57,28,13042.69,40,17700.24,184,85673.55,84624.02,55,28082.12,29079.31,481.196243,481.561585,-1049.53,465.617119,459.913152,266203,111.73,2.6,109.71,4.9,101.67,-1.4,103.05,3.8,109.03,11.2
38,201809,Auto Particulier,BCS Polis,2453,1181270.57,2464,1186759.15,42,22227.62,29,14212.42,160,70317.49,69300.48,61,29823.32,29030.05,481.561585,481.639265,-1017.01,439.484312,433.128,257021,113.02,3.8,109.94,5.1,101.57,-1.6,103.72,3.3,109.39,9.1
39,201810,Auto Particulier,BCS Polis,2464,1186759.15,2466,1189799.31,28,17139.73,24,12938.45,172,78215.8,77486.58,49,26090.43,26905.31,481.639265,482.481472,-729.22,454.743023,450.503372,273113,113.41,2.0,110.03,4.9,101.32,-2.2,105.81,4.0,108.89,9.6
40,201811,Auto Particulier,BCS Polis,2466,1189799.31,2467,1193715.23,31,19884.24,30,14101.79,186,92538.8,91872.61,61,33028.54,31828.2,482.481472,483.873218,-666.19,497.52043,493.938763,269241,113.56,1.8,109.97,4.5,101.13,-2.2,105.52,3.9,104.38,1.9
41,201812,Auto Particulier,BCS Polis,2467,1193715.23,2482,1199611.22,36,17572.08,20,10354.56,194,95692.34,94485.55,60,27248.12,28026.61,483.873218,483.324423,-1206.79,493.259484,487.038917,231944,109.35,-2.0,110.08,4.6,101.85,-1.3,104.55,3.1,99.33,-2.1
42,201901,Auto Particulier,BCS Polis,2482,1199611.22,2484,1200588.59,40,18405.17,34,15630.07,205,102115.68,100421.57,73,37927.28,39031.26,483.324423,483.328739,-1694.11,498.125268,489.861317,294291,109.67,-3.3,110.93,3.7,100.39,-2.1,106.4,6.6,101.25,-1.9
43,201902,Auto Particulier,BCS Polis,2484,1200588.59,2483,1197503.27,27,14149.33,28,16708.43,166,76918.73,75400.75,46,20583.29,21684.71,483.328739,482.280817,-1517.98,463.365843,454.221385,260509,116.51,2.7,110.93,3.7,100.23,-2.0,106.96,8.2,103.63,2.2
44,201903,Auto Particulier,BCS Polis,2483,1197503.27,2477,1193090.8,31,16859.16,37,23964.56,193,91054.23,92543.65,64,31809.69,31717.76,482.280817,481.667662,1489.42,471.783575,479.500777,278454,118.9,5.2,110.93,3.2,100.16,-2.1,106.43,5.5,106.06,5.7
45,201904,Auto Particulier,BCS Polis,2477,1193090.8,2478,1200208.47,29,17032.28,27,11301.24,164,78060.26,78937.45,53,27024.28,28076.4,481.667662,484.345629,877.19,475.977195,481.325914,259102,119.08,5.3,110.89,3.0,100.3,-2.0,107.14,4.8,110.64,6.1
46,201905,Auto Particulier,BCS Polis,2478,1200208.47,2478,1207508.76,30,19653.96,31,15587.57,157,81675.77,84405.77,48,26727.2,26683.06,484.345629,487.29167,2730.0,520.227834,537.616369,293289,120.21,6.6,110.83,2.0,100.24,-1.4,107.12,4.2,111.94,3.4
47,201906,Auto Particulier,BCS Polis,2478,1207508.76,2469,1211351.46,20,13542.71,29,12507.99,173,77522.37,80929.13,53,27715.26,27116.48,487.29167,490.624325,3406.76,448.106184,467.798439,270887,120.22,6.4,110.7,2.0,100.73,-1.6,106.66,3.3,107.85,-0.1
48,201907,Auto Particulier,BCS Polis,2469,1211351.46,2468,1214355.24,29,14936.65,29,18081.4,198,101058.69,104716.2,61,31475.16,34947.24,490.624325,492.04021,3657.51,510.397424,528.869696,275647,119.57,5.7,111.05,2.2,100.57,-1.2,107.26,5.0,108.45,0.6
49,201908,Auto Particulier,BCS Polis,2468,1214355.24,2461,1217808.14,25,12656.48,31,12041.93,187,86667.76,89977.73,57,26746.55,26434.78,492.04021,494.842803,3309.97,463.463957,481.164331,260591,119.64,7.1,111.41,1.5,100.85,-0.8,107.44,4.3,106.99,-1.9
50,201909,Auto Particulier,BCS Polis,2461,1217808.14,2453,1216716.19,30,17988.21,33,21723.96,179,79758.5,83632.41,53,25645.74,25416.86,494.842803,496.011492,3873.91,445.578212,467.220167,261902,119.83,6.0,111.45,1.4,101.21,-0.4,107.33,3.5,107.32,-1.9
51,201910,Auto Particulier,BCS Polis,2453,1216716.19,2451,1226078.02,34,22694.84,36,15707.64,169,81356.31,84805.6,59,35523.38,34448.72,496.011492,500.23583,3449.29,481.398284,501.808284,289994,119.63,5.5,111.55,1.4,101.04,-0.3,108.3,2.4,107.25,-1.5
52,201911,Auto Particulier,BCS Polis,2451,1226078.02,2462,1239603.04,35,19225.91,21,9652.59,181,87715.35,90903.02,53,24056.25,26003.79,500.23583,503.494329,3187.67,484.615193,502.226629,287130,119.95,5.6,111.91,1.8,101.44,0.3,108.75,3.1,108.07,3.5
53,201912,Auto Particulier,BCS Polis,2462,1239603.04,2438,1234553.82,14,10043.62,38,19234.4,193,93272.97,96590.13,59,37995.28,38819.68,503.494329,506.379745,3317.16,483.279637,500.466994,268872,119.95,9.7,111.93,1.7,101.19,-0.6,108.6,3.9,108.71,9.4
54,202001,Auto Particulier,BCS Polis,2438,1234553.82,2455,1252800.58,39,24900.61,21,10318.41,213,104398.72,107303.95,63,34857.23,35779.37,506.379745,510.305735,2905.23,490.134835,503.774413,312175,123.42,12.5,114.12,2.9,101.08,0.7,108.64,2.1,110.97,9.6
55,202002,Auto Particulier,BCS Polis,2455,1252800.58,2458,1259328.96,29,15477.3,25,10595.34,162,75421.88,77286.21,49,24655.94,24775.32,510.305735,512.338877,1864.33,465.56716,477.07537,274710,123.42,5.9,114.31,3.0,100.82,0.6,108.72,1.6,108.36,4.6
56,202003,Auto Particulier,BCS Polis,2458,1259328.96,2454,1254885.07,28,13999.45,30,16146.79,198,96191.89,95852.37,57,33189.83,31500.18,512.338877,511.363109,-339.52,485.817626,484.102878,253074,122.94,3.4,114.42,3.1,100.64,0.5,109.18,2.6,101.76,-4.1
57,202004,Auto Particulier,BCS Polis,2454,1254885.07,2446,1250950.67,17,8962.5,23,12147.07,168,86449.7,84895.03,48,26816.82,28183.42,511.363109,511.427093,-1554.67,514.581547,505.327559,201158,123.3,3.5,114.63,3.4,101.03,0.7,110.27,2.9,95.84,-13.4
58,202005,Auto Particulier,BCS Polis,2446,1250950.67,2451,1255130.68,28,18252.21,22,12179.53,164,88789.52,86943.74,37,22054.87,22222.55,511.427093,512.08922,-1845.78,541.399512,530.144756,265615,123.3,2.6,114.8,3.6,99.59,-0.6,110.18,2.9,96.12,-14.1
59,202006,Auto Particulier,BCS Polis,2451,1255130.68,2447,1252924.62,27,13955.81,26,16469.38,148,69801.84,72286.61,84,41290.67,42415.32,512.08922,512.024773,2484.77,471.634054,488.42304,289671,123.57,2.8,114.8,3.7,99.4,-1.3,110.24,3.4,99.28,-7.9
60,202007,Auto Particulier,BCS Polis,2447,1252924.62,2444,1254397.87,37,23082.39,41,23452.67,181,100330.7,101007.15,62,36638.13,37642.4,512.024773,513.256084,676.45,554.313259,558.050552,307111,122.74,2.7,115.39,3.9,98.73,-1.8,113.15,5.5,100.73,-7.1
61,202008,Auto Particulier,BCS Polis,2444,1254397.87,2441,1260695.51,31,18271.27,32,13993.75,164,79440.0,80980.42,61,35638.39,36305.74,513.256084,516.46682,1540.42,484.390243,493.783048,257447,122.74,2.6,115.39,3.6,99.32,-1.5,111.53,3.8,100.73,-5.9
62,202009,Auto Particulier,BCS Polis,2441,1260695.51,2441,1268263.18,34,20609.17,34,17175.66,174,84287.99,86763.98,50,24425.38,27130.64,516.46682,519.567054,2475.99,484.413735,498.643563,274543,122.8,2.5,115.32,3.5,99.99,-1.2,109.94,2.4,100.14,-6.7
63,202010,Auto Particulier,BCS Polis,2441,1268263.18,2441,1275156.65,36,20935.02,35,18066.31,174,87941.43,90518.64,59,32202.67,35045.04,519.567054,522.391089,2577.21,505.410517,520.222068,289688,122.6,2.5,114.95,3.0,101.12,0.1,109.54,1.1,100.0,-6.8
64,202011,Auto Particulier,BCS Polis,2441,1275156.65,2434,1277946.49,36,20490.87,40,20382.23,176,91398.9,95738.1,54,31742.14,31435.17,522.391089,525.039642,4339.2,519.311931,543.966477,261947,122.6,2.2,114.6,2.4,101.74,0.3,109.7,0.9,98.49,-8.9
65,202012,Auto Particulier,BCS Polis,2434,1277946.49,2444,1290270.18,37,25277.75,25,15205.61,177,91617.26,96900.93,59,34884.83,32199.38,525.039642,527.933788,5283.67,517.611638,547.462881,270898,122.47,2.1,114.6,2.4,101.86,0.7,109.71,1.0,100.66,-7.4
66,202101,Auto Particulier,BCS Polis,2444,1290270.18,2443,1289311.06,27,15067.09,22,14193.67,224,118400.7,120902.12,65,38833.68,38450.4,527.933788,527.75729,2501.42,528.574553,539.741607,268443,123.15,-0.2,118.32,3.7,101.8,0.7,109.82,1.1,104.93,-5.4
67,202102,Auto Particulier,BCS Polis,2443,1289311.06,2434,1286288.16,28,14484.47,33,17592.29,148,72037.24,73745.52,38,18505.71,18502.35,527.75729,528.466787,1708.28,486.738108,498.28054,237428,123.4,0.0,118.44,3.6,101.45,0.6,110.06,1.2,109.13,0.7
68,202103,Auto Particulier,BCS Polis,2434,1286288.16,2430,1288863.7,26,13133.42,28,13853.94,194,94464.74,97292.07,46,24143.0,25441.26,528.466787,530.396584,2827.33,486.931649,501.505515,289652,123.51,0.5,118.72,3.8,101.21,0.6,110.02,0.8,112.6,10.7
69,202104,Auto Particulier,BCS Polis,2430,1288863.7,2413,1284984.51,19,8942.21,33,16044.04,163,84279.8,90029.32,41,18968.66,19604.15,530.396584,532.525698,5749.52,517.053987,552.327116,272934,123.64,0.3,118.86,3.7,101.7,0.7,110.62,0.3,113.38,18.3
70,202105,Auto Particulier,BCS Polis,2413,1284984.51,2420,1299623.38,34,22208.44,27,11296.2,172,94720.72,96661.82,45,34165.67,36678.17,532.525698,537.034454,1941.1,550.70186,561.987325,282349,123.05,-0.2,118.28,3.0,101.7,2.1,113.12,2.7,115.12,19.8
71,202106,Auto Particulier,BCS Polis,2420,1299623.38,2428,1305821.32,36,22259.03,25,17272.29,163,78680.12,80369.98,70,41961.3,42029.24,537.034454,537.817677,1689.86,482.700122,493.067361,297957,123.05,-0.4,118.47,3.2,101.43,2.0,113.46,2.9,116.59,17.4
72,202107,Auto Particulier,BCS Polis,2428,1305821.32,2427,1308495.33,33,23788.16,33,19580.12,196,111908.65,111459.73,45,28794.33,28338.63,537.817677,539.14105,-448.92,570.9625,568.672091,287885,123.05,0.3,119.26,3.4,102.17,3.5,114.61,1.3,119.01,18.1
