Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie
200306,Auto Particulier,BOVAG Polis,1498,619748.65,1727,713769.65,229,94021.00,0,0.00,0,0.00,0.00,0,0.00,0.00,413.717389,413.300318,0.00,0.000000,0.000000
200307,Auto Particulier,BOVAG Polis,1727,713769.65,2019,839864.87,292,126095.22,0,0.00,0,0.00,0.00,0,0.00,0.00,413.300318,415.980619,0.00,0.000000,0.000000
200308,Auto Particulier,BOVAG Polis,2019,839864.87,2284,948795.62,265,108930.75,0,0.00,0,0.00,0.00,0,0.00,0.00,415.980619,415.409640,0.00,0.000000,0.000000
200309,Auto Particulier,BOVAG Polis,2284,948795.62,2582,1075606.40,298,126810.78,0,0.00,0,0.00,0.00,0,0.00,0.00,415.409640,416.578776,0.00,0.000000,0.000000
200310,Auto Particulier,BOVAG Polis,2582,1075606.40,2960,1224520.40,378,148914.00,0,0.00,0,0.00,0.00,0,0.00,0.00,416.578776,413.689324,0.00,0.000000,0.000000
200311,Auto Particulier,BOVAG Polis,2960,1224520.40,3348,1378646.14,388,154125.74,0,0.00,0,0.00,0.00,0,0.00,0.00,413.689324,411.782001,0.00,0.000000,0.000000
200312,Auto Particulier,BOVAG Polis,3348,1378646.14,3599,1478864.12,251,100217.98,0,0.00,0,0.00,0.00,0,0.00,0.00,411.782001,410.909730,0.00,0.000000,0.000000
200401,Auto Particulier,BOVAG Polis,3599,1478864.12,3656,1502449.74,57,23695.10,0,0.00,246,100656.96,100152.37,129,49928.11,50164.71,410.909730,410.954524,-504.59,409.174634,407.123455
200402,Auto Particulier,BOVAG Polis,3656,1502449.74,3692,1521876.54,36,15023.94,0,0.00,214,85786.27,86131.71,88,32075.56,36132.98,410.954524,412.209247,345.44,400.870420,402.484626
200403,Auto Particulier,BOVAG Polis,3692,1521876.54,3733,1543967.17,41,16089.48,0,0.00,166,72028.14,76499.64,73,29700.64,31230.29,412.209247,413.599563,4471.50,433.904457,460.841204
200404,Auto Particulier,BOVAG Polis,3733,1543967.17,3761,1560391.20,28,11816.31,0,0.00,229,98250.37,102883.66,95,41483.21,41457.64,413.599563,414.887317,4633.29,429.040917,449.273624
200405,Auto Particulier,BOVAG Polis,3761,1560391.20,3789,1577526.20,28,11459.78,0,0.00,197,84204.99,88260.56,62,26064.91,27684.56,414.887317,416.343679,4055.57,427.436497,448.023147
200406,Auto Particulier,BOVAG Polis,3789,1577526.20,3811,1592329.47,22,10517.76,0,0.00,169,68692.06,73200.53,60,25328.94,25105.98,416.343679,417.824578,4508.47,406.461893,433.139230
200407,Auto Particulier,BOVAG Polis,3811,1592329.47,3849,1614080.80,38,18739.48,0,0.00,174,74337.33,77897.31,79,33908.80,33095.90,417.824578,419.350688,3559.98,427.226034,447.685689
200408,Auto Particulier,BOVAG Polis,3849,1614080.80,3880,1636395.75,31,15257.67,0,0.00,218,86361.98,94407.55,47,22568.77,21580.48,419.350688,421.751481,8045.57,396.155871,433.062155
